#;Genere;Età (anni compiuti, inserisca il numero);Che tipo di lavoro svolge (lo descriva in poche parole. Se ne svolge più di uno li descriva tutti).;Inquadramento (se svolge più di un lavoro, si riferisca a quello a cui dedica più tempo);Settore;Grado di istruzione più elevato raggiunto:;Coniuge/convivente;Genitori;Figli;Altri;Da sola/o;Quante ore lavora in media per settima? (straordinari inclusi);Quanto spesso le capita di UTILIZZARE IL SUO SMARTPHONE durante l'orario lavorativo?;Quanto spesso le capita di UTILIZZARE IL SUO SMARTPHONE PER MOTIVI LAVORATIVI durante l'orario lavorativo?;Quanto spesso le capita di UTILIZZARE IL SUO SMARTPHONE PER MOTIVI PERSONALI durante l'orario lavorativo?;Quanto spesso le capita di UTILIZZARE IL SUO SMARTPHONE PER FARE CHIAMATE durante l'orario lavorativo?;Quanto spesso le capita di UTILIZZARE IL SUO SMARTPHONE PER NAVIGARE SUL BROWSER (es. Google Chrome) durante l'orario lavorativo?;Quanto spesso le capita di UTILIZZARE IL SUO SMARTPHONE PER USARE APPLICAZIONI (es. WhatsApp) durante l'orario lavorativo?;Il mio lavoro mi fa sentire ARRABBIATA/O.;Il mio lavoro mi fa sentire ANSIOSA/O.;Il mio lavoro mi fa sentire DISGUSTATA/O.;Il mio lavoro mi fa sentire SCORAGGIATA/O.;Il mio lavoro mi fa sentire PESSIMISTA.;Il mio lavoro mi fa sentire AFFATICATA/O.;Il mio lavoro mi fa sentire PIENA/O DI ENERGIA.;Il mio lavoro mi fa sentire ENTUSIASTA.;Il mio lavoro mi fa sentire ISPIRATA/O.;Il mio lavoro mi fa sentire A MIO AGIO.;Il mio lavoro mi fa sentire SODDISFATTA/O.;Il mio lavoro mi fa sentire RILASSATA/O.;Si sente sfinita/o alla fine di una giornata lavorativa?;La mattina, al pensiero di un'altra giornata lavorativa da affrontare, si sente già esausta/o?;Sente che ogni ora di lavoro è per lei stancante?;Ha abbastanza energie per la famiglia e gli amici durante il tempo libero?;Il suo lavoro è emotivamente spossante?;Si sente consumata/o e spenta/o a causa del suo lavoro?;Si sente frustrata/o a causa del suo lavoro?;Nessun sintomo;Mal di stomaco o nausea;Mal di schiena;Sonno disturbato;Eruzione cutanea;Respiro affannoso;Dolore al torace;Mal di testa;Febbre;Acidità o bruciore di stomaco;Affaticamento agli occhi;Diarrea;Crampi allo stomaco;Costipazione;Battito accelerato a riposo;Calo di appetito;Vertigini;Stanchezza o affaticamento;Nessun sintomo;Mal di stomaco o nausea;Mal di schiena;Sonno disturbato;Eruzione cutanea;Respiro affannoso;Dolore al torace;Mal di testa;Febbre;Acidità o bruciore di stomaco;Affaticamento agli occhi;Diarrea;Crampi allo stomaco;Costipazione;Battito accelerato a riposo;Calo di appetito;Vertigini;Stanchezza o affaticamento;Quante volte accade che il suo lavoro le richieda di LAVORARE MOLTO VELOCEMENTE?;Quante volte accade che il suo lavoro le richieda di LAVORARE DURAMENTE?;"Quante volte le capita che il suo lavoro le lasci POCO TEMPO A DISPOSIZIONE per finire le cose che deve fare?";Quante volte al lavoro ci sono TANTISSIME COSE DA FARE?;Quante volte le capita di avere PIÙ LAVORO DI QUANTO NE POTREBBE SVOLGERE BENE?;Quante volte trova difficile o impossibile svolgere il suo lavoro in modo ottimale a causa di...INTERRUZIONI DA PARTE DI ALTRE PERSONE?;Quante volte trova difficile o impossibile svolgere il suo lavoro in modo ottimale a causa di...INADEGUATO AIUTO DA PARTE DEGLI ALTRI?;Quante volte trova difficile o impossibile svolgere il suo lavoro in modo ottimale a causa di...REGOLE E PROCEDURE ORGANIZZATIVE?;Quante volte trova difficile o impossibile svolgere il suo lavoro in modo ottimale a causa...DEL SUO SUPERVISORE O DEL SUO CAPO?;Quante volte trova difficile o impossibile svolgere il suo lavoro in modo ottimale a causa di...APPARECCHIATURE O FORNITURE INADEGUATE?;Quante volte trova difficile o impossibile svolgere il suo lavoro in modo ottimale a causa di...FORMAZIONE PERSONALE INSUFFICIENTE?;Quante volte accade che il suo lavoro le permetta di PRENDERE MOLTE DECISIONI IN AUTONOMIA?;Quante volte le capita di AVERE VOCE IN CAPITOLO rispetto all'organizzazione del suo lavoro?;Quante volte le capita di avere POCA LIBERTÀ DI DECIDERE COME FARE il suo lavoro?;Quante volte le capita di POTER DECIDERE COSA FARE a lavoro?;Quante volte le capita di POTER PIANIFICARE IL TEMPO in cui svolgere il suo lavoro?;Mi sembra di essere di fretta e in corsa contro il tempo;Continuo a lavorare dopo che i miei colleghi hanno smesso;"E’ importante per me lavorare intensamente anche quando quello che faccio non mi piace";Mi tengo impegnato e ‘metto molta carne sul fuoco’;"Sento che c’è qualcosa dentro di me che mi spinge a lavorare intensamente";Dedico più tempo al lavoro che a socializzare con gli amici, ad hobby o ad altre attività del tempo libero;"Mi sento obbligato a lavorare intensamente, anche quando ciò non è piacevole";Mi ritrovo a fare due o tre cose contemporaneamente, come ad esempio consumare il pranzo, scrivere un promemoria e utilizzare il telefono;Mi sento colpevole quando mi prendo del tempo libero dal lavoro;E’ difficile per me rilassarmi quando non lavoro;Inserisca il suo CODICE PERSONALE;Che tipo di smartphone possiede?;"Grazie! Questa fase preliminare dello studio è terminata. Una COPIA PDF del consenso informato, delle istruzioni e del modulo per l'autorizzazione del datore di lavoro* è allegata alla mail con cui l'abbiamo contattata. *****************  IMPORTANTE **********************************************************************Per inviarci le sue risposte deve: (1) cliccare sul tasto ""Continua"" qui sotto,(2) cliccare sul tasto ""Invia"" di seguito. ******************************************************************************************************Grazie mille per la collaborazione!";Start Date (UTC);Submit Date (UTC);Network ID
a6b3d5d741bf0d38b21d8c438f61cf2e;Maschio;29;Software Developer;Dipendente - livello non dirigenziale;Privato;Laurea/Post-laurea;;;;Altri;;35;4;2;2;1;1;4;3;2;3;1;1;2;3;3;3;4;3;4;3;3;2;4;2;2;2;;;;;;;;Mal di testa;;;;;;;;;;Stanchezza o affaticamento;Nessun sintomo;;;;;;;;;;;;;;;;;;3;3;2;2;2;5;2;5;4;1;1;3;3;2;2;4;2;1;2;3;3;3;2;1;1;1;MMCP1956;Con sistema ANDROID (Samsung, HUAWEI, ASUS, Xiaomi ecc.);Continua;2019-02-07 15:27:30;2019-02-07 15:47:47;213f895888
7be79c2d4046c258b5af69d9f02b90cd;Femmina;44;impiegata amministrativa;Dipendente - livello non dirigenziale;Pubblico;Laurea/Post-laurea;;;;Altri;;40;3;3;1;1;1;2;5;5;5;5;4;4;1;1;1;2;1;1;4;3;4;3;3;5;5;;;;Sonno disturbato;;;;;;Acidità o bruciore di stomaco;Affaticamento agli occhi;;;;;;;Stanchezza o affaticamento;Nessun sintomo;;;;;;;;;;;;;;;;;;5;5;5;5;5;5;3;3;2;3;3;3;4;2;3;1;4;3;4;3;3;4;4;4;4;4;MFAB1943;Con sistema ANDROID (Samsung, HUAWEI, ASUS, Xiaomi ecc.);Continua;2019-02-06 10:55:32;2019-02-06 11:09:05;2b59ac627b
e5a72eda3e0769bcd4aa41c008558bd1;Femmina;34;ricercatrice;Dipendente - livello non dirigenziale;Pubblico;Laurea/Post-laurea;Coniuge/convivente;;;;;40;5;5;5;3;3;5;3;5;2;2;3;4;4;4;4;4;4;3;4;3;2;4;4;3;3;;;Mal di schiena;;Eruzione cutanea;;;Mal di testa;;;Affaticamento agli occhi;;;;Battito accelerato a riposo;Calo di appetito;Vertigini;Stanchezza o affaticamento;Nessun sintomo;;;;;;;;;;;;;;;;;;4;3;3;4;3;4;3;3;3;3;2;3;3;3;3;4;3;2;2;3;2;2;2;2;3;1;Ccrb1960;Con sistema ANDROID (Samsung, HUAWEI, ASUS, Xiaomi ecc.);Continua;2019-02-05 09:54:43;2019-02-05 10:26:10;e6f61fbd16
2de01df2d9620bf022d2b21cad6ffade;Maschio;38;Psicologa;Dipendente - livello non dirigenziale;Privato;Laurea/Post-laurea;Coniuge/convivente;;Figli;;;38;3;2;3;3;1;4;2;1;3;2;2;4;4;4;4;4;4;2;2;2;1;3;4;3;3;;Mal di stomaco o nausea;;;;;;;;;;;;;;;;;Nessun sintomo;;;;;;;;;;;;;;;;;;1;3;2;1;1;2;3;2;2;2;2;3;3;3;3;3;1;1;1;2;2;1;2;2;1;2;ANMA1938;Con sistema ANDROID (Samsung, HUAWEI, ASUS, Xiaomi ecc.);Continua;2019-01-30 15:09:33;2019-01-30 15:21:58;111f1ea030
8096bf84d0c7346b82227f7961c30c17;Femmina;32;Medico;Dipendente - livello dirigenziale;Privato;Laurea/Post-laurea;Coniuge/convivente;;;;;38;3;3;3;3;2;5;2;1;1;2;1;3;3;3;3;3;3;3;3;1;1;5;4;3;3;;;Mal di schiena;Sonno disturbato;;;;Mal di testa;;;;;;;;;;;Nessun sintomo;;;;;;;;;;;;;;;;;;3;5;2;2;2;4;3;1;1;3;3;4;4;1;5;4;1;4;3;3;3;1;3;1;1;2;BDRB1955;Con sistema ANDROID (Samsung, HUAWEI, ASUS, Xiaomi ecc.);Continua;2019-01-30 15:03:05;2019-01-30 15:09:23;111f1ea030
5d5e0acfa3bf40e0f050944202143b1d;Maschio;44;Dirigente;Dipendente - livello dirigenziale;Privato;Laurea/Post-laurea;Coniuge/convivente;;Figli;;;40;5;5;4;5;3;4;3;2;1;2;2;3;3;3;3;4;4;3;2;1;1;3;3;2;3;;;;Sonno disturbato;;;;;;;Affaticamento agli occhi;;;;;;;;Nessun sintomo;;;;;;;;;;;;;;;;;;4;4;4;4;3;4;3;3;1;1;2;4;5;2;5;5;1;3;3;2;3;2;3;3;2;1;Auca49;Con sistema ANDROID (Samsung, HUAWEI, ASUS, Xiaomi ecc.);Continua;2019-01-30 13:37:50;2019-01-30 13:50:37;111f1ea030
d8b051f15ecbf2f3c7491a73a5fa5ebe;Maschio;46;Impiegato Amministrativo;Dipendente - livello non dirigenziale;Privato;Laurea/Post-laurea;Coniuge/convivente;;;;;38;4;3;4;2;2;2;1;1;1;1;1;3;3;3;1;3;4;3;2;1;1;5;3;2;2;Nessun sintomo;;;;;;;;;;;;;;;;;;Nessun sintomo;;;;;;;;;;;;;;;;;;2;2;2;3;1;2;1;1;1;1;1;3;3;2;3;3;1;1;1;1;1;1;1;2;1;1;ANMA1938;Con sistema ANDROID (Samsung, HUAWEI, ASUS, Xiaomi ecc.);Continua;2019-01-30 13:29:45;2019-01-30 13:37:30;111f1ea030
a9c764062dabaf813e72593feac0aa9f;Femmina;34;Impiegato Amministrativo;Dipendente - livello non dirigenziale;Privato;Scuole Superiori;;Genitori;;;;38;3;1;3;1;3;3;1;1;1;1;2;3;3;3;2;3;4;2;3;1;1;5;2;3;3;Nessun sintomo;;;;;;;;;;;;;;;;;;Nessun sintomo;;;;;;;;;;;;;;;;;;3;3;3;4;2;2;1;1;1;1;1;3;3;1;3;3;2;2;2;3;3;1;3;2;1;1;DSDDG1957;Con sistema ANDROID (Samsung, HUAWEI, ASUS, Xiaomi ecc.);Continua;2019-01-29 16:07:20;2019-01-29 16:11:17;84b3ff1e90
5e67a1d56bc68b559706f768341554b5;Femmina;52;Coordinatrice Culturale;Dipendente - livello non dirigenziale;Privato;Laurea/Post-laurea;Coniuge/convivente;;Figli;;;38;5;5;5;5;5;5;1;1;1;1;1;1;4;4;3;3;4;2;4;1;1;1;3;1;1;Nessun sintomo;;;;;;;;;;;;;;;;;;Nessun sintomo;;;;;;;;;;;;;;;;;;3;3;3;2;3;2;3;2;1;1;1;1;4;1;4;4;1;1;4;3;3;3;3;1;1;1;Gibaisge19;Con sistema ANDROID (Samsung, HUAWEI, ASUS, Xiaomi ecc.);Continua;2019-01-29 16:01:44;2019-01-29 16:05:26;84b3ff1e90
ca60174a271b005da24227b646051cb7;Femmina;31;Coordinatore Terapisti;Dipendente - livello non dirigenziale;Privato;Laurea/Post-laurea;;;;;Da sola/o;38;4;1;4;1;2;5;1;1;1;2;2;4;4;4;2;3;3;3;3;1;1;4;3;2;1;;;Mal di schiena;;;;;;;;;;;;;;;;Nessun sintomo;;;;;;;;;;;;;;;;;;4;4;3;2;1;3;1;1;1;1;1;3;3;2;4;1;1;1;3;2;2;2;3;1;1;1;Pqdf1962;Con sistema ANDROID (Samsung, HUAWEI, ASUS, Xiaomi ecc.);Continua;2019-01-29 15:35:53;2019-01-29 15:42:11;84b3ff1e90
4b97e402125d381024012983b4753396;Femmina;36;Ricercatore;Dipendente - livello non dirigenziale;Pubblico;Laurea/Post-laurea;Coniuge/convivente;;;;;40;5;2;5;4;5;5;3;4;2;5;3;4;2;3;4;3;3;2;3;3;2;4;5;3;3;;;Mal di schiena;;;;;;;;;;;Costipazione;;;;;Nessun sintomo;;;;;;;;;;;;;;;;;;4;4;3;4;4;4;3;5;3;4;4;4;4;3;3;4;4;2;2;4;2;1;2;4;1;1;Morfeo1234;Con sistema iOS (iPhone);Continua;2019-01-27 08:07:51;2019-01-27 08:22:41;42fa247636
9becf49d45607f584445229aedbadc6c;Maschio;28;Assegnista ricercatore in cosmetologia all’Università;A progetto/ co.co.co;Pubblico;Laurea/Post-laurea;Coniuge/convivente;;;Altri;;8;5;3;5;2;4;5;2;2;1;1;1;3;2;3;4;3;4;3;3;5;2;4;2;1;1;;;Mal di schiena;;Eruzione cutanea;;;Mal di testa;;;Affaticamento agli occhi;;;Costipazione;;;;;Nessun sintomo;;;;;;;;;;;;;;;;;;2;2;2;2;1;2;2;1;3;1;1;3;4;2;4;5;1;2;3;3;2;2;1;1;1;1;MTML1990;Con sistema iOS (iPhone);Continua;2019-01-24 19:29:37;2019-01-24 20:01:38;4570a9f347
46a75ecbb17e35ae24c7e951571a9c0a;Maschio;34;Ingegnere di laboratorio;Dipendente - livello non dirigenziale;Privato;Laurea/Post-laurea;Coniuge/convivente;;;;;40;5;4;4;2;3;4;1;3;1;2;1;4;3;3;3;4;4;2;3;1;1;3;1;1;2;;;Mal di schiena;;;Respiro affannoso;;Mal di testa;;Acidità o bruciore di stomaco;Affaticamento agli occhi;Diarrea;;;Battito accelerato a riposo;;;Stanchezza o affaticamento;Nessun sintomo;;;;;;;;;;;;;;;;;;4;3;4;5;4;3;2;4;1;1;1;4;5;1;4;4;4;2;2;3;3;4;1;2;2;2;FPCP1954;Con sistema ANDROID (Samsung, HUAWEI, ASUS, Xiaomi ecc.);Continua;2019-01-24 12:16:27;2019-01-24 12:29:03;45f1a916d9
d80df8867c1221ac046d9821253efe3e;Maschio;25;Graphic Designer;Dipendente - livello non dirigenziale;Privato;Laurea/Post-laurea;;Genitori;;;;40;4;1;3;1;1;3;1;1;1;3;3;1;1;1;1;2;1;2;4;1;3;2;1;2;5;;;Mal di schiena;;;;;;;Acidità o bruciore di stomaco;Affaticamento agli occhi;;;;;;;;;;Mal di schiena;;;;;;;;;;;;;;;;4;1;2;3;1;2;1;3;3;1;1;1;1;1;2;4;1;1;4;2;2;1;1;1;2;1;AMAZ1963;Con sistema ANDROID (Samsung, HUAWEI, ASUS, Xiaomi ecc.);Continua;2019-01-23 15:46:24;2019-01-23 16:01:46;d9fc88eaa2
4196c9bb796d9f358ed120dca58f76ea;Femmina;33;marketing manager;Dipendente - livello non dirigenziale;Privato;Laurea/Post-laurea;Coniuge/convivente;;;;;50;5;5;3;3;3;5;3;5;2;3;3;4;2;3;3;3;3;2;5;4;3;3;4;4;4;;;;Sonno disturbato;;;;;;;Affaticamento agli occhi;;;;;;;Stanchezza o affaticamento;;;;Sonno disturbato;;;;;;;;Diarrea;;;;;;;5;5;5;5;5;3;4;2;3;3;4;3;4;3;4;3;4;4;2;3;3;3;4;4;2;3;ACBM1954;Con sistema ANDROID (Samsung, HUAWEI, ASUS, Xiaomi ecc.);;2019-01-23 11:49:43;2019-01-23 11:57:17;d9fc88eaa2
fe2bc1fa8381fb3e138ec8276c5baeac;Maschio;31;Impiegato digital marketing;Dipendente - livello non dirigenziale;Privato;Laurea/Post-laurea;Coniuge/convivente;;;;;50;5;4;3;4;4;4;4;2;1;2;3;3;3;3;3;3;3;3;3;2;2;4;3;3;3;;;Mal di schiena;Sonno disturbato;;;;;;;;;;;;;;Stanchezza o affaticamento;Nessun sintomo;;;;;;;;;;;;;;;;;;5;4;4;5;5;4;4;3;3;4;3;4;4;3;4;5;3;3;3;3;3;3;2;3;2;2;GNCM1957;Con sistema ANDROID (Samsung, HUAWEI, ASUS, Xiaomi ecc.);Continua;2019-01-23 10:22:49;2019-01-23 10:37:23;d9fc88eaa2
b4a0a91d089b8f5792f3ce4941a9497c;Femmina;39;Lavoro impiegatizio presso la pubblica amministrazione;Dipendente - livello non dirigenziale;Pubblico;Laurea/Post-laurea;Coniuge/convivente;;;;;40;3;4;3;1;1;3;4;4;5;4;4;5;1;2;2;2;2;1;4;3;3;4;3;4;4;;Mal di stomaco o nausea;;Sonno disturbato;;;;Mal di testa;;;Affaticamento agli occhi;;;;;;;Stanchezza o affaticamento;;;;;;;;Mal di testa;;;Affaticamento agli occhi;;;;;;;Stanchezza o affaticamento;3;4;4;4;4;3;3;5;5;5;1;3;4;4;3;3;4;2;1;1;2;3;2;4;2;1;MPRC1951;Con sistema iOS (iPhone);Continua;2019-01-22 11:56:45;2019-01-22 13:09:09;5a1b4b2f32
bc90cdddc444ef5fb1af472f9319aa64;Femmina;31;Postdoc;A progetto/ co.co.co;Pubblico;Laurea/Post-laurea;;;;Altri;;42;5;3;5;2;2;5;3;4;1;4;3;2;4;4;4;4;4;4;2;2;2;4;4;2;4;;Mal di stomaco o nausea;;Sonno disturbato;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;4;4;4;4;4;2;3;2;2;3;4;4;3;4;4;3;3;2;3;4;2;3;3;2;2;GSDC1952;Con sistema ANDROID (Samsung, HUAWEI, ASUS, Xiaomi ecc.);Continua;2019-01-20 15:16:48;2019-01-20 15:36:29;e744cd2d9c
97b4ac69437c0935d8e43e8fd70b6b48;Femmina;54;Addetta alla lavanderia;Dipendente - livello non dirigenziale;Privato;Scuole Medie;;Genitori;;;;38;4;3;1;2;1;4;2;1;1;2;2;4;5;4;2;5;5;5;2;3;1;5;1;1;1;;;Mal di schiena;;;;;;;;;;;;;;;;Nessun sintomo;;;;;;;;;;;;;;;;;;3;2;3;5;3;3;4;3;1;3;1;3;5;1;5;3;2;2;2;2;2;3;1;2;3;1;FBAQ1939;Con sistema ANDROID (Samsung, HUAWEI, ASUS, Xiaomi ecc.);Continua;2019-01-19 16:15:20;2019-01-19 16:46:41;899ec235c5
05294ccbc1500ecc253a5f906675c970;Maschio;28;Ufficio Comunicazione e IT (aziendale);Dipendente - livello non dirigenziale;Privato;Laurea/Post-laurea;Coniuge/convivente;;;;;8;5;4;3;4;2;4;2;3;1;1;1;5;3;3;2;2;4;2;5;3;2;3;2;2;2;;;Mal di schiena;;;;;Mal di testa;;;Affaticamento agli occhi;;;;;;;Stanchezza o affaticamento;Nessun sintomo;;;;;;;;;;;;;;;;;;5;4;5;5;5;5;2;3;2;1;2;4;5;1;4;1;4;2;3;4;4;3;3;4;2;3;OMMZ1960;Con sistema ANDROID (Samsung, HUAWEI, ASUS, Xiaomi ecc.);Continua;2019-01-18 19:40:49;2019-01-18 19:54:28;a25652f892
5e3530c4361fae6fbc0c34d9b9080490;Maschio;53;Maestro di laboratorio;Dipendente - livello non dirigenziale;Privato;Laurea/Post-laurea;;;;;Da sola/o;38;3;3;3;1;1;1;3;3;1;1;3;3;4;5;5;5;5;3;3;2;3;4;4;2;1;;;Mal di schiena;;;;;;;;Affaticamento agli occhi;;;;;;;Stanchezza o affaticamento;;;Mal di schiena;;;;;;;;;;;;;;;Stanchezza o affaticamento;5;4;4;5;5;3;1;1;1;3;3;4;4;3;4;5;2;2;2;4;4;3;2;2;2;2;Asst1945;Con sistema ANDROID (Samsung, HUAWEI, ASUS, Xiaomi ecc.);Continua;2019-01-18 08:21:56;2019-01-18 08:40:12;95e242f2e4
d0f60e83b6064203013df90f3e802b1b;Maschio;35;Addetto inserimento dati sensibili;Dipendente - livello non dirigenziale;Privato;Scuole Superiori;;Genitori;;;;45;3;4;2;3;1;2;3;3;2;2;3;3;1;3;3;3;3;2;4;3;3;4;4;3;4;;;Mal di schiena;;;;;Mal di testa;;;;;Crampi allo stomaco;;;;;;Nessun sintomo;;;;;;;;;;;;;;;;;;4;4;4;4;4;4;3;4;3;3;3;4;2;4;3;3;3;2;3;3;3;3;2;2;2;3;EMMM1953;Con sistema ANDROID (Samsung, HUAWEI, ASUS, Xiaomi ecc.);Continua;2019-01-17 19:08:50;2019-01-17 19:26:22;7ddd71e722
1629316b35b8627e52342ae779cabe32;Femmina;35;Infermiere professionale;Dipendente - livello non dirigenziale;Privato;Laurea/Post-laurea;;;Figli;;;38;3;1;2;2;2;2;1;2;1;1;1;3;3;5;4;5;5;2;2;2;2;3;3;3;2;;;Mal di schiena;Sonno disturbato;;;;Mal di testa;;Acidità o bruciore di stomaco;;;;;;;;;;;;;;;;;;Acidità o bruciore di stomaco;;;;;;;;;1;1;2;3;2;1;1;1;1;1;1;3;3;2;3;4;2;1;4;4;4;2;2;2;2;2;CLMB1961;Con sistema ANDROID (Samsung, HUAWEI, ASUS, Xiaomi ecc.);Continua;2019-01-17 16:51:48;2019-01-17 17:04:56;e6e2830c69
07d7cee674ed81942291484a15938292;Maschio;29;Operatore socio sanitario;Dipendente - livello non dirigenziale;Privato;Scuole Superiori;Coniuge/convivente;;;;;38;1;1;1;1;1;1;1;1;1;1;1;3;4;5;4;5;5;3;3;5;3;5;3;2;2;;;Mal di schiena;;;;;;;;;;;;;;;;;;Mal di schiena;;;;;;;;;;;;;;;;4;4;4;4;3;4;3;1;1;1;1;4;4;2;4;5;1;3;3;2;3;1;4;2;3;2;FM1957;Con sistema ANDROID (Samsung, HUAWEI, ASUS, Xiaomi ecc.);Continua;2019-01-17 13:14:36;2019-01-17 13:32:09;0627079637
89a613b88519eb8aa2552c68d46f20d1;Maschio;30;Assegnista di ricerca;Dipendente - livello non dirigenziale;Pubblico;Laurea/Post-laurea;;;;Altri;;8;5;3;5;1;3;5;4;2;1;3;2;3;3;2;1;4;4;2;3;3;3;5;1;2;1;;;;Sonno disturbato;;;;Mal di testa;;Acidità o bruciore di stomaco;Affaticamento agli occhi;;;;;;;Stanchezza o affaticamento;Nessun sintomo;;;;;;;;;;;;;;;;;;3;4;2;3;3;3;2;4;3;1;4;3;4;2;4;4;2;3;4;3;3;2;3;3;3;1;ASGS1955;Con sistema ANDROID (Samsung, HUAWEI, ASUS, Xiaomi ecc.);Continua;2019-01-17 12:41:42;2019-01-17 13:05:48;282bc7e98c
799d97af6ece73e2395686868d8e733d;Maschio;51;Maestro di laboratorio presso un'istituzione psico-pedagogico;Dipendente - livello non dirigenziale;Privato;Laurea/Post-laurea;Coniuge/convivente;;Figli;;;38;3;1;3;1;1;2;3;4;3;4;3;5;1;2;3;4;3;1;4;4;4;1;5;4;3;;;;Sonno disturbato;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;4;5;4;5;4;3;3;2;3;5;4;5;5;1;4;2;1;2;3;2;4;3;1;1;4;Gtcdb948;Con sistema ANDROID (Samsung, HUAWEI, ASUS, Xiaomi ecc.);Continua;2019-01-16 07:03:39;2019-01-16 07:30:22;2510ab6e7c
dd95c5eff2ba8e7e7e7905019b956c38;Femmina;46;retail manager;Dipendente - livello non dirigenziale;Privato;Laurea/Post-laurea;Coniuge/convivente;;;;;47;2;1;2;1;1;1;3;1;2;2;1;3;1;4;3;4;4;2;3;1;2;4;3;3;3;;;;Sonno disturbato;;;;Mal di testa;;;Affaticamento agli occhi;;;;;;;Stanchezza o affaticamento;Nessun sintomo;;;;;;;;;;;;;;;;;;3;1;4;3;2;3;4;3;1;1;1;4;5;1;4;4;2;3;3;3;3;4;2;3;1;1;LCPP1944;Con sistema ANDROID (Samsung, HUAWEI, ASUS, Xiaomi ecc.);Continua;2019-01-15 13:08:25;2019-01-15 13:31:28;d9fc88eaa2
8dfdd616d568fb86f9b4805311d73a56;Femmina;25;Impiegata;Dipendente - livello non dirigenziale;Privato;Laurea/Post-laurea;;;;;Da sola/o;40;4;3;4;1;2;4;4;4;5;5;3;5;2;3;3;4;3;2;5;5;4;3;5;5;4;;Mal di stomaco o nausea;Mal di schiena;Sonno disturbato;Eruzione cutanea;;;Mal di testa;;Acidità o bruciore di stomaco;Affaticamento agli occhi;;;;;;;Stanchezza o affaticamento;Nessun sintomo;;;;;;;;;;;;;;;;;;3;3;5;4;4;4;5;3;2;1;5;3;1;3;3;2;3;2;4;4;3;4;4;2;4;3;ETLC1964;Con sistema ANDROID (Samsung, HUAWEI, ASUS, Xiaomi ecc.);Continua;2019-01-15 13:00:44;2019-01-15 13:19:03;d9fc88eaa2
f0e47a909895a4cd04be248546fe5884;Maschio;45;Fisioterapista;Dipendente - livello non dirigenziale;Privato;Laurea/Post-laurea;Coniuge/convivente;;Figli;;;50;5;5;4;4;3;3;1;1;1;2;1;3;3;3;3;4;4;2;3;2;2;4;3;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;1;1;1;1;2;1;1;1;1;1;4;4;2;4;4;1;2;2;1;2;1;1;1;1;1;Dbga1938;Con sistema ANDROID (Samsung, HUAWEI, ASUS, Xiaomi ecc.);;2019-01-15 10:07:31;2019-01-15 10:21:02;ed4c71cb2a
0ec5e696aef98cd6814e75d559ee7083;Maschio;29;assistente ricercatore;A progetto/ co.co.co;Pubblico;Laurea/Post-laurea;;;;Altri;;50;5;5;5;3;5;5;5;5;2;3;3;5;3;3;4;3;3;1;5;2;2;3;4;4;3;;;;Sonno disturbato;;;;;;;Affaticamento agli occhi;;;;;Calo di appetito;;;Nessun sintomo;;;;;;;;;;;;;;;;;;2;5;4;5;5;4;5;3;1;3;3;4;5;1;5;5;4;3;3;3;4;4;3;3;3;2;aaaaaa89;Con sistema iOS (iPhone);Continua;2019-01-09 20:41:50;2019-01-09 21:00:24;905a790a85
285d72498dfa52bdc5476f0a36e248f4;Maschio;44;direttore sales channel retail;Dipendente - livello dirigenziale;Privato;Laurea/Post-laurea;Coniuge/convivente;;Figli;;;60;5;5;3;4;2;4;3;3;2;2;1;2;4;4;4;4;4;2;3;1;1;4;4;1;1;;;Mal di schiena;;;;;;;;;;;;;;;;Nessun sintomo;;;;;;;;;;;;;;;;;;5;4;4;5;3;4;4;4;4;4;2;4;4;2;4;4;3;4;4;3;4;4;3;4;3;3;AABB1947;Con sistema ANDROID (Samsung, HUAWEI, ASUS, Xiaomi ecc.);Continua;2018-12-27 14:31:59;2018-12-27 14:41:15;d9fc88eaa2
9032ce1b07df27939ba1724fbb48a7e1;Maschio;47;assistente commerciale - customer service;Dipendente - livello non dirigenziale;Privato;Laurea/Post-laurea;Coniuge/convivente;;;;;40;3;3;3;2;1;1;2;2;1;2;2;2;4;4;3;4;4;4;3;2;1;3;2;2;2;;;Mal di schiena;;;;;Mal di testa;;;;;;;;;;Stanchezza o affaticamento;;;;;;;;;;;;;;;;;;;3;3;2;3;2;1;1;2;2;1;1;3;3;1;4;5;2;3;4;2;2;3;2;1;1;2;PVDV1937;Con sistema ANDROID (Samsung, HUAWEI, ASUS, Xiaomi ecc.);;2018-12-12 13:45:05;2018-12-12 13:58:13;d9fc88eaa2
